id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
307237396,7133993b-d0e4-4493-9653-2ce2060233c7,2025/08/12 2:55 PM,2025-08-12,2025-08-12 12:55:00 UTC,Pretoria,6695281,galogghe,Garben Logghe,2025-08-18 10:21:47 UTC,2025-10-23 13:28:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/307237396,https://inaturalist-open-data.s3.amazonaws.com/photos/554144774/medium.jpg,,"",,3,0,false,,"Cape Point, Cape Town, South Africa",-34.3506754014,18.4694134874,50,,,,50,,open,false,,,Caracal,Caracal caracal,Caracal,Mammalia,42042
314643621,186656a3-3e72-473e-9732-7fe2ad589969,2025-09-17 21:12:15,2025-09-17,2025-09-17 19:12:15 UTC,Pretoria,5290090,psammophis,"",2025-09-17 19:57:06 UTC,2025-11-21 19:04:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/314643621,https://inaturalist-open-data.s3.amazonaws.com/photos/568307515/medium.jpg,,"",,3,0,false,2,"Cape Peninsula, Cape Town, South Africa",-34.1714093393,18.3370104432,372,,,,372,,open,false,gps,gps,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
316709264,781fa342-c96e-46ac-85ec-f86b1ccd36ed,2020-11-29 08:12:59,2020-11-29,2020-11-29 06:12:59 UTC,Pretoria,691145,wooshness,Joshua Weiss,2025-09-26 11:37:49 UTC,2025-11-21 19:06:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/316709264,https://inaturalist-open-data.s3.amazonaws.com/photos/572237959/medium.jpg,,"",,4,0,false,843,"Cape Town, Western Cape, ZA",-33.9620385558,18.4516883105,74,,,,74,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
319935210,c6593433-4efb-4aa7-81c4-06226f48122f,2025-10-05 08:19:55,2025-10-05,2025-10-05 06:19:55 UTC,Pretoria,2839974,christo35,,2025-10-10 11:34:45 UTC,2026-01-11 14:35:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/319935210,https://inaturalist-open-data.s3.amazonaws.com/photos/578389837/medium.jpg,,"",,4,0,false,843,"Olifantsbos Road, Cape Point, Western Cape, ZA",-34.259621049,18.3834430277,771,,,,771,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
323185942,dd44bbfe-d9b1-4146-89c1-236f150df9f3,2025-10-26 08:16:02,2025-10-26,2025-10-26 06:16:02 UTC,Pretoria,2839974,christo35,,2025-10-26 12:16:53 UTC,2026-01-11 14:34:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/323185942,https://inaturalist-open-data.s3.amazonaws.com/photos/584775301/medium.jpg,,"",,5,0,false,843,"Cape of Good Hope Drive, Cape Point, Western Cape, ZA",-34.3507709068,18.4695067727,1175,,,,1175,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
328785731,8757a7ad-46ea-4198-a53f-ec2225dd1f47,2025/10/07 12:39,2025-10-07,2025-10-07 10:39:00 UTC,Pretoria,8381941,artem418,,2025-11-29 17:48:21 UTC,2026-01-17 14:14:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/328785731,https://inaturalist-open-data.s3.amazonaws.com/photos/595855912/medium.jpg,,"",,4,0,false,,"Скарборо, Кейптаун, Южная Африка",-34.1908767452,18.3675110762,61,,,,61,,open,false,,,Caracal caracal caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
332457550,f953e5eb-ce79-4164-ba87-43f8c59d0bd3,2025-12-28 12:35:59,2025-12-28,2025-12-28 10:35:59 UTC,Pretoria,2173153,dryfveer,Santie Gouws,2025-12-28 16:58:56 UTC,2026-01-12 22:20:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/332457550,https://inaturalist-open-data.s3.amazonaws.com/photos/603350684/medium.jpg,,"",,1,0,false,2,"Hout Bay, Cape Town, 7872, South Africa",-34.0039161312,18.3544466749,6,,,,6,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
333156304,e0f7d1c9-6fc9-499e-b866-35ada4393c80,2025-04-17 13:46:12,2025-04-17,2025-04-17 11:46:12 UTC,Pretoria,10043008,ugqira52-,,2026-01-02 15:08:44 UTC,2026-01-03 16:40:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/333156304,https://inaturalist-open-data.s3.amazonaws.com/photos/604788653/medium.jpg,,"",,3,0,false,2,"Cape Peninsula, Cape Town, South Africa",-34.2564125374,18.390118517,384,,,,384,,open,false,gps,gps,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
333990414,e588daed-d9d3-4afd-b183-ee928bbfc035,2026-01-06 12:08:06,2026-01-06,2026-01-06 10:08:06 UTC,Pretoria,2040203,justinhawthorne,Justin Hawthorne,2026-01-08 17:43:18 UTC,2026-01-12 22:20:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/333990414,https://inaturalist-open-data.s3.amazonaws.com/photos/606426299/medium.jpg,,"",,1,0,false,2,"Cape of Good Hope, Cape Point Rd, Cape Peninsula, Cape Town, 8001, South Africa",-34.3567792103,18.4746654332,6,,,,6,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
336316915,1acf8881-d8f0-4d3e-a3bc-7734d105df69,2026-01-27 06:34:00,2026-01-27,2026-01-27 04:34:00 UTC,Pretoria,8060138,christine59852,Christine Bell,2026-01-27 04:36:40 UTC,2026-02-10 18:25:42 UTC,research,,https://www.inaturalist.org/observations/336316915,https://static.inaturalist.org/photos/611134852/medium.jpg,,"",Caracal,4,0,false,2,"Constantia Heights, Cape Town, 7848, South Africa",-34.0005811476,18.4364774823,8,,,,8,,open,false,gps,gps,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
339396149,3659fb81-16e3-4556-bd29-9fd233a70bd7,2026/02/19 8:23 AM,2026-02-19,2026-02-19 06:23:00 UTC,Pretoria,1511185,manatok,"",2026-02-20 06:31:50 UTC,2026-02-21 04:47:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/339396149,https://inaturalist-open-data.s3.amazonaws.com/photos/617404376/medium.jpg,,"","",2,0,false,,"Constantia, Cape Town, South Africa",-34.0034604283,18.4456942814,4,,,,4,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
